Florida Panthers	58	122	0.744	42	55	3	337	242	4.11	2.95	24.4	79.5	21.4	84.2	37.3	30.7	48.2
Colorado Avalanche	56	119	0.726	46	52	4	308	232	3.76	2.83	24	79.7	22.2	82.2	35	32	47.3
Carolina Hurricanes	54	116	0.707	47	53	1	277	200	3.38	2.44	22	88	20.7	89.5	34.1	28.2	53.9
Toronto Maple Leafs	54	115	0.701	45	51	3	312	252	3.8	3.07	27.3	82.1	25.5	87.6	34.6	30.6	55.1
Minnesota Wild	53	113	0.689	37	48	5	305	249	3.72	3.04	20.5	76.1	18.6	76.9	32.5	31.4	47.6
Calgary Flames	50	111	0.677	44	48	2	291	206	3.55	2.51	22.9	83.2	21.6	86	35.5	29	51.1
New York Rangers	52	110	0.671	44	48	4	250	204	3.05	2.49	25.2	82.3	24.3	85.8	29.2	30.8	48.1
Tampa Bay Lightning	51	110	0.671	39	49	2	285	228	3.48	2.78	23.9	80.6	22	83.3	30.9	29.8	50.1
St. Louis Blues	49	109	0.665	43	47	2	309	239	3.77	2.91	27	84.1	24.9	88.2	30.4	31.6	50.2
Boston Bruins	51	107	0.652	40	49	2	253	218	3.09	2.66	21.2	81.3	18.6	83.2	36.1	28.7	54.2
Edmonton Oilers	49	104	0.634	38	44	5	285	251	3.48	3.06	26	79.4	23.4	83.7	34	32.3	51.3
Pittsburgh Penguins	46	103	0.628	37	43	3	269	222	3.28	2.71	20.2	84.4	16.9	85.9	34.7	31.4	51.1
Washington Capitals	44	100	0.61	35	39	5	270	242	3.29	2.95	18.8	80.4	15.2	84	31.4	29	47.1
Los Angeles Kings	44	99	0.604	35	40	4	235	232	2.87	2.83	16.1	76.7	12.5	81.5	34.9	28.5	52.2
Dallas Stars	46	98	0.598	31	41	5	233	244	2.84	2.98	22.4	79	20.3	82.2	30.3	31	54.8
Nashville Predators	45	97	0.591	35	41	4	262	250	3.2	3.05	24.4	79.2	22.5	79.9	29.7	32.3	51.2
Vegas Golden Knights	43	94	0.573	34	39	4	262	244	3.2	2.98	18.4	77.4	15.1	82.2	34.5	30	49.3
Vancouver Canucks	40	92	0.561	32	37	3	246	231	3	2.82	23.5	74.9	21.1	77.1	32	31.9	52
Winnipeg Jets	39	89	0.543	32	37	2	250	253	3.05	3.09	21.1	75	17.8	78.9	32.3	33.2	50.7
New York Islanders	37	84	0.512	34	35	2	229	231	2.79	2.82	22.1	84.2	18.8	86.5	28.9	32.5	51.3
Columbus Blue Jackets	37	81	0.494	26	33	4	258	297	3.15	3.62	18.6	78.6	15.9	81.5	30	35.2	48.5
San Jose Sharks	32	77	0.47	22	29	3	211	261	2.57	3.18	19	85.2	13.9	87	29.3	32	49.6
Anaheim Ducks	31	76	0.463	22	27	4	228	266	2.78	3.24	21.9	80.8	20.1	83.5	29.2	33.2	48.2
Buffalo Sabres	32	75	0.457	25	29	3	229	287	2.79	3.5	21.2	76.4	18.5	79.3	29.9	33	46
Detroit Red Wings	32	74	0.451	21	29	3	227	310	2.77	3.78	16.3	73.8	11.9	75.6	29.4	33.7	49.4
Ottawa Senators	33	73	0.445	26	30	3	224	264	2.73	3.22	19.3	80.3	17.7	83.9	30	33.4	47.9
Chicago Blackhawks	28	68	0.415	16	22	6	213	289	2.6	3.52	19.2	76.2	16.7	77.1	28.8	33	49.6
New Jersey Devils	27	63	0.384	19	24	3	245	302	2.99	3.68	15.6	80.2	9.3	83	31.2	31	46.9
Philadelphia Flyers	25	61	0.372	20	24	1	210	294	2.56	3.59	12.6	75.7	8	78.3	31	34	52.1
Seattle Kraken	27	60	0.366	23	24	3	213	284	2.6	3.46	14.6	74.9	11.4	78.5	29	28.9	47.7
Arizona Coyotes	25	57	0.348	18	24	1	206	309	2.51	3.77	13.9	75	11.9	76.2	25.9	35.5	47.3
Montréal Canadiens	22	55	0.335	16	19	3	218	317	2.66	3.87	13.7	75.6	8.9	77.7	29.8	34.4	49.2
